192.168.16.1 - - [29/Oct/2021:19:08:48 +0000] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.2 - - [29/Oct/2021:19:08:48 +0000] "GET /api/items/landing?fields=*.*,headers*.item,landing_steps.item.* HTTP/1.1" 200 759 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:08:48 +0000] "GET /api/items/landing?fields=*.*,headers*.item,landing_steps.item.* HTTP/1.1" 200 759 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:08:48 +0000] "GET /api/items/faq HTTP/1.1" 403 102 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:08:48 +0000] "GET /api/items/faq HTTP/1.1" 403 102 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:08:49 +0000] "GET /api/items/landing?fields=*.*,headers*.item,landing_steps.item.* HTTP/1.1" 200 759 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:08:49 +0000] "GET /api/items/faq HTTP/1.1" 403 102 "-" "axios/0.21.1" "-"
192.168.16.1 - - [29/Oct/2021:19:08:49 +0000] "GET / HTTP/1.1" 500 43968 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:08:50 +0000] "GET /favicon.ico HTTP/1.1" 200 8636 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.2 - - [29/Oct/2021:19:08:52 +0000] "GET /api/items/landing?fields=*.*,headers*.item,landing_steps.item.* HTTP/1.1" 200 759 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:08:52 +0000] "GET /api/items/faq HTTP/1.1" 403 102 "-" "axios/0.21.1" "-"
192.168.16.1 - - [29/Oct/2021:19:08:52 +0000] "GET / HTTP/1.1" 500 44069 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:08:53 +0000] "GET /favicon.ico HTTP/1.1" 200 8636 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:20 +0000] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:21 +0000] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:24 +0000] "GET / HTTP/1.1" 200 1246 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:26 +0000] "GET /_loading/assets/js/index.28675de3.chunk.js HTTP/1.1" 200 4291 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:26 +0000] "GET /_loading/assets/css/index.28675de3.chunk.css HTTP/1.1" 200 1034 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:26 +0000] "GET /_loading/assets/js/chunk-vendors.b9580920.chunk.js HTTP/1.1" 200 32005 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:26 +0000] "GET /favicon.ico HTTP/1.1" 200 8636 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:27 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:28 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:29 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:30 +0000] "GET /_loading/assets/js/index.28675de3.chunk.js HTTP/1.1" 200 4291 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:30 +0000] "GET /_loading/assets/js/chunk-vendors.b9580920.chunk.js HTTP/1.1" 200 32005 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:30 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:31 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:33 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:35 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:37 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:39 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:41 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:43 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:45 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:47 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:48 +0000] "GET /_loading/json HTTP/1.1" 200 378 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:48 +0000] "GET /_loading/sse HTTP/1.1" 499 0 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:48 +0000] "GET / HTTP/1.1" 200 449513 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:48 +0000] "GET /_nuxt/runtime.js HTTP/1.1" 200 9371 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:48 +0000] "GET /_nuxt/app.3c442cd64b09e1794391.hot-update.js HTTP/1.1" 200 28847 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:48 +0000] "GET /_nuxt/pages/index.js HTTP/1.1" 200 2872 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:48 +0000] "GET /_nuxt/commons/app.js HTTP/1.1" 200 742651 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:49 +0000] "GET /_nuxt/app.js HTTP/1.1" 200 152035 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:49 +0000] "GET /_nuxt/vendors/app.js HTTP/1.1" 200 1423879 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:49 +0000] "GET /_nuxt/assets/fonts/Inter-Regular.woff2 HTTP/1.1" 200 91944 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:10:49 +0000] "GET /_nuxt/assets/fonts/Inter-Bold.woff2 HTTP/1.1" 200 100096 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
